time,tls,cur_phase,main_green,q_main,q_side,rem_before,rem_after,extended
52.0,J1,2,0,2.0,0.0,35.0,35.0,0
52.0,J2,2,0,2.0,0.0,35.0,35.0,0
52.0,J3,2,0,0.0,0.0,35.0,35.0,0
52.5,J1,2,0,2.0,0.0,34.5,34.5,0
52.5,J2,2,0,2.0,0.0,34.5,34.5,0
52.5,J3,2,0,0.0,0.0,34.5,34.5,0
53.0,J1,2,0,3.0,0.0,34.0,34.0,0
53.0,J2,2,0,2.0,0.0,34.0,34.0,0
53.0,J3,2,0,0.0,0.0,34.0,34.0,0
53.5,J1,2,0,2.0,0.0,33.5,33.5,0
53.5,J2,2,0,2.0,0.0,33.5,33.5,0
53.5,J3,2,0,0.0,0.0,33.5,33.5,0
54.0,J1,2,0,3.0,0.0,33.0,33.0,0
54.0,J2,2,0,2.0,0.0,33.0,33.0,0
54.0,J3,2,0,0.0,0.0,33.0,33.0,0
54.5,J1,2,0,3.0,1.0,32.5,32.5,0
54.5,J2,2,0,2.0,0.0,32.5,32.5,0
54.5,J3,2,0,0.0,0.0,32.5,32.5,0
55.0,J1,2,0,3.0,0.0,32.0,32.0,0
55.0,J2,2,0,2.0,0.0,32.0,32.0,0
55.0,J3,2,0,0.0,0.0,32.0,32.0,0
55.5,J1,2,0,4.0,0.0,31.5,31.5,0
55.5,J2,2,0,2.0,0.0,31.5,31.5,0
55.5,J3,2,0,0.0,0.0,31.5,31.5,0
56.0,J1,2,0,3.0,0.0,31.0,31.0,0
56.0,J2,2,0,2.0,0.0,31.0,31.0,0
56.0,J3,2,0,0.0,0.0,31.0,31.0,0
56.5,J1,2,0,3.0,0.0,30.5,30.5,0
56.5,J2,2,0,2.0,0.0,30.5,30.5,0
56.5,J3,2,0,0.0,0.0,30.5,30.5,0
57.0,J1,2,0,3.0,0.0,30.0,30.0,0
57.0,J2,2,0,3.0,0.0,30.0,30.0,0
57.0,J3,2,0,0.0,0.0,30.0,30.0,0
57.5,J1,2,0,4.0,0.0,29.5,29.5,0
57.5,J2,2,0,3.0,0.0,29.5,29.5,0
57.5,J3,2,0,0.0,0.0,29.5,29.5,0
58.0,J1,2,0,4.0,0.0,29.0,29.0,0
58.0,J2,2,0,3.0,0.0,29.0,29.0,0
58.0,J3,2,0,0.0,0.0,29.0,29.0,0
58.5,J1,2,0,5.0,0.0,28.5,28.5,0
58.5,J2,2,0,3.0,0.0,28.5,28.5,0
58.5,J3,2,0,0.0,0.0,28.5,28.5,0
59.0,J1,2,0,4.0,0.0,28.0,28.0,0
59.0,J2,2,0,3.0,1.0,28.0,28.0,0
59.0,J3,2,0,0.0,0.0,28.0,28.0,0
59.5,J1,2,0,4.0,0.0,27.5,27.5,0
59.5,J2,2,0,4.0,0.0,27.5,27.5,0
59.5,J3,2,0,0.0,0.0,27.5,27.5,0
60.0,J1,2,0,4.0,0.0,27.0,27.0,0
60.0,J2,2,0,4.0,0.0,27.0,27.0,0
60.0,J3,2,0,0.0,0.0,27.0,27.0,0
60.5,J1,2,0,4.0,0.0,26.5,26.5,0
60.5,J2,2,0,4.0,0.0,26.5,26.5,0
60.5,J3,2,0,0.0,0.0,26.5,26.5,0
61.0,J1,2,0,6.0,0.0,26.0,26.0,0
61.0,J2,2,0,5.0,0.0,26.0,26.0,0
61.0,J3,2,0,0.0,0.0,26.0,26.0,0
61.5,J1,2,0,5.0,0.0,25.5,25.5,0
61.5,J2,2,0,5.0,0.0,25.5,25.5,0
61.5,J3,2,0,0.0,0.0,25.5,25.5,0
62.0,J1,2,0,5.0,0.0,25.0,25.0,0
62.0,J2,2,0,5.0,0.0,25.0,25.0,0
62.0,J3,2,0,0.0,0.0,25.0,25.0,0
62.5,J1,2,0,5.0,0.0,24.5,24.5,0
62.5,J2,2,0,5.0,0.0,24.5,24.5,0
62.5,J3,2,0,0.0,0.0,24.5,24.5,0
63.0,J1,2,0,5.0,0.0,24.0,24.0,0
63.0,J2,2,0,5.0,0.0,24.0,24.0,0
63.0,J3,2,0,0.0,0.0,24.0,24.0,0
63.5,J1,2,0,5.0,0.0,23.5,23.5,0
63.5,J2,2,0,5.0,0.0,23.5,23.5,0
63.5,J3,2,0,0.0,1.0,23.5,23.5,0
64.0,J1,2,0,7.0,0.0,23.0,23.0,0
64.0,J2,2,0,5.0,0.0,23.0,23.0,0
64.0,J3,2,0,0.0,0.0,23.0,23.0,0
64.5,J1,2,0,6.0,0.0,22.5,22.5,0
64.5,J2,2,0,5.0,0.0,22.5,22.5,0
64.5,J3,2,0,0.0,0.0,22.5,22.5,0
65.0,J1,2,0,6.0,0.0,22.0,22.0,0
65.0,J2,2,0,5.0,0.0,22.0,22.0,0
65.0,J3,2,0,0.0,0.0,22.0,22.0,0
65.5,J1,2,0,6.0,0.0,21.5,21.5,0
65.5,J2,2,0,5.0,0.0,21.5,21.5,0
65.5,J3,2,0,0.0,0.0,21.5,21.5,0
66.0,J1,2,0,7.0,0.0,21.0,21.0,0
66.0,J2,2,0,5.0,0.0,21.0,21.0,0
66.0,J3,2,0,0.0,0.0,21.0,21.0,0
66.5,J1,2,0,7.0,0.0,20.5,20.5,0
66.5,J2,2,0,5.0,0.0,20.5,20.5,0
66.5,J3,2,0,0.0,0.0,20.5,20.5,0
67.0,J1,2,0,8.0,0.0,20.0,20.0,0
67.0,J2,2,0,5.0,0.0,20.0,20.0,0
67.0,J3,2,0,0.0,0.0,20.0,20.0,0
67.5,J1,2,0,7.0,0.0,19.5,19.5,0
67.5,J2,2,0,5.0,0.0,19.5,19.5,0
67.5,J3,2,0,0.0,0.0,19.5,19.5,0
68.0,J1,2,0,8.0,1.0,19.0,19.0,0
68.0,J2,2,0,5.0,0.0,19.0,19.0,0
68.0,J3,2,0,0.0,0.0,19.0,19.0,0
68.5,J1,2,0,8.0,0.0,18.5,18.5,0
68.5,J2,2,0,5.0,0.0,18.5,18.5,0
68.5,J3,2,0,0.0,0.0,18.5,18.5,0
69.0,J1,2,0,9.0,0.0,18.0,18.0,0
69.0,J2,2,0,6.0,0.0,18.0,18.0,0
69.0,J3,2,0,0.0,0.0,18.0,18.0,0
69.5,J1,2,0,9.0,0.0,17.5,17.5,0
69.5,J2,2,0,6.0,0.0,17.5,17.5,0
69.5,J3,2,0,0.0,0.0,17.5,17.5,0
70.0,J1,2,0,10.0,0.0,17.0,17.0,0
70.0,J2,2,0,7.0,0.0,17.0,17.0,0
70.0,J3,2,0,0.0,0.0,17.0,17.0,0
70.5,J1,2,0,9.0,0.0,16.5,16.5,0
70.5,J2,2,0,7.0,0.0,16.5,16.5,0
70.5,J3,2,0,0.0,0.0,16.5,16.5,0
71.0,J1,2,0,9.0,0.0,16.0,16.0,0
71.0,J2,2,0,7.0,0.0,16.0,16.0,0
71.0,J3,2,0,0.0,0.0,16.0,16.0,0
71.5,J1,2,0,9.0,0.0,15.5,15.5,0
71.5,J2,2,0,7.0,0.0,15.5,15.5,0
71.5,J3,2,0,0.0,0.0,15.5,15.5,0
72.0,J1,2,0,9.0,0.0,15.0,15.0,0
72.0,J2,2,0,7.0,0.0,15.0,15.0,0
72.0,J3,2,0,0.0,0.0,15.0,15.0,0
72.5,J1,2,0,10.0,0.0,14.5,14.5,0
72.5,J2,2,0,7.0,1.0,14.5,14.5,0
72.5,J3,2,0,0.0,0.0,14.5,14.5,0
73.0,J1,2,0,10.0,0.0,14.0,14.0,0
73.0,J2,2,0,7.0,0.0,14.0,14.0,0
73.0,J3,2,0,0.0,0.0,14.0,14.0,0
73.5,J1,2,0,10.0,0.0,13.5,13.5,0
73.5,J2,2,0,8.0,0.0,13.5,13.5,0
73.5,J3,2,0,0.0,0.0,13.5,13.5,0
74.0,J1,2,0,10.0,0.0,13.0,13.0,0
74.0,J2,2,0,8.0,0.0,13.0,13.0,0
74.0,J3,2,0,0.0,0.0,13.0,13.0,0
74.5,J1,2,0,10.0,0.0,12.5,12.5,0
74.5,J2,2,0,8.0,0.0,12.5,12.5,0
74.5,J3,2,0,0.0,0.0,12.5,12.5,0
75.0,J1,2,0,11.0,0.0,12.0,12.0,0
75.0,J2,2,0,8.0,0.0,12.0,12.0,0
